COLLNUM,Taxon.Name,CATNUM,PRESTYPE,STATUS,ORIGLOCAL,Locality.Selector,LocalityQualifier,ISGPPROV,COLLECTOR,DATECOLL1,gps,elevation,country,province,locality,site,lat,lon,gps_raw,A or B?
FK 13989,Oreophryne biroi,34692,alcoholic + alc gut,installed June 2017,"Madang Prov., Keki Lodge, 4° 42.291' S, 145° 24.251' E, 854 m = from F Kraus field notes",Keki Lodge {Papua New Guinea: Madang Prov.: Keki Lodge    :    854 m    :    4.70485ºS [4° 42.591' S (AGD 84)]  145.40418ºE [145° 24.251' E (AGD 84)].},,Madang Prov.,F Kraus,06 Oct 2009,"-4.70485, 145.40418",854 m,Papua New Guinea,Madang Prov.,Keki Lodge    ,Keki Lodge,-4.70485,145.40418,4.70485ºS 145.40418ºE ,A
--,Oreophryne brachypus,1182,alcoholic,installed,"""New Britain, Nakanai Mtns., Talalo, 900 m."" = from Herpetology book catalog",,,,J L Gressitt,27 Jul 1956,", ",,,,,,NA,NA,,A
--,Oreophryne brachypus,1183,alcoholic,installed,"""New Britain, Nakanai Mtns., Talalo, 900 m."" = from Herpetology book catalog",,,,J L Gressitt,27 Jul 1956,", ",,,,,,NA,NA,,A
FK 10748,Oreophryne brachypus,22509,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1, 5.44730° S, 151.46307° E (AGD66), 865 m = F Kraus field catalog","Marmar, 9 km NNW, (Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,23 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10749,Oreophryne brachypus,22510,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1, 5.44730° S, 151.46307° E (AGD66), 865 m = F Kraus field catalog","Marmar, 9 km NNW, (Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,23 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10758,Oreophryne brachypus,22511,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1, 5.44730° S, 151.46307° E (AGD66), 865 m = F Kraus field catalog","Marmar, 9 km NNW, (Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,23 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10759,Oreophryne brachypus,22512,alcoholic,"installed, Oct 2006","New Britain, Camp 1, 5.44730° S, 151.46307° E (AGD66), 865 m = F Kraus field catalog","Marmar, 9 km NNW, (Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,23 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10781,Oreophryne brachypus,22513,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1 +/- 200 m = F Kraus catalog ; from F Kraus field catalog Camp 1 = 5.44730° S, 151.46307° E (AGD66), 865 m.","Marmar, 9 km NNW, (Camp 1 +/- 200 m) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1 +/- 200 m)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,24 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1 +/- 200 m)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10782,Oreophryne brachypus,22514,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1 +/- 200 m = F Kraus catalog ; from F Kraus field catalog Camp 1 = 5.44730° S, 151.46307° E (AGD66), 865 m.","Marmar, 9 km NNW, (Camp 1 +/- 200 m) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1 +/- 200 m)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,24 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1 +/- 200 m)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10814,Oreophryne brachypus,22515,alcoholic + alc gut,"installed, Oct 2006","New Britain, Cave nr. Camp 1, 5.44439° S, 151.46546° E (AGD66), 800 m = F Kraus field catalog","Marmar, 9.2 km NNW, (cave near Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9.2 km NNW, (cave near Camp 1)    :    800-920 m    :    5.44439ºS  151.46546ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.44439, 151.46546",800-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9.2 km NNW, (cave near Camp 1)",-5.44439,151.46546,5.44439ºS 151.46546ºE,A
FK 10815,Oreophryne brachypus,22516,alcoholic + alc gut,"installed, Oct 2006","New Britain, Cave nr. Camp 1, 5.44439° S, 151.46546° E (AGD66), 800 m = F Kraus field catalog","Marmar, 9.2 km NNW, (cave near Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9.2 km NNW, (cave near Camp 1)    :    800-920 m    :    5.44439ºS  151.46546ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.44439, 151.46546",800-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9.2 km NNW, (cave near Camp 1)",-5.44439,151.46546,5.44439ºS 151.46546ºE,A
FK 10816,Oreophryne brachypus,22517,alcoholic + alc gut,"installed, Oct 2006","New Britain, Cave nr. Camp 1, 5.44439° S, 151.46546° E (AGD66), 800 m = F Kraus field catalog","Marmar, 9.2 km NNW, (cave near Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9.2 km NNW, (cave near Camp 1)    :    800-920 m    :    5.44439ºS  151.46546ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.44439, 151.46546",800-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9.2 km NNW, (cave near Camp 1)",-5.44439,151.46546,5.44439ºS 151.46546ºE,A
FK 10834,Oreophryne brachypus,22518,alcoholic + alc gut,"installed, Oct 2006","New Britain, Bulisa's trail","Marmar, 8.8 km NNW, (Bulisa's trail) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 8.8 km NNW, (Bulisa's trail)    :    940 m    :    5.4483695ºS  151.4671171ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.4483695, 151.4671171",940 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 8.8 km NNW, (Bulisa's trail)",-5.4483695,151.4671171,5.4483695ºS 151.4671171ºE,A
FK 10835,Oreophryne brachypus,22519,alcoholic + alc gut,"installed, Oct 2006","New Britain, Bulisa's trail","Marmar, 8.8 km NNW, (Bulisa's trail) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 8.8 km NNW, (Bulisa's trail)    :    940 m    :    5.4483695ºS  151.4671171ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.4483695, 151.4671171",940 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 8.8 km NNW, (Bulisa's trail)",-5.4483695,151.4671171,5.4483695ºS 151.4671171ºE,A
FK 10836,Oreophryne brachypus,22520,alcoholic + alc gut,"installed, Oct 2006","New Britain, Bulisa's trail","Marmar, 8.8 km NNW, (Bulisa's trail) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 8.8 km NNW, (Bulisa's trail)    :    940 m    :    5.4483695ºS  151.4671171ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.4483695, 151.4671171",940 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 8.8 km NNW, (Bulisa's trail)",-5.4483695,151.4671171,5.4483695ºS 151.4671171ºE,A
FK 10837,Oreophryne brachypus,22521,alcoholic + alc gut,"installed, Oct 2006","New Britain, Bulisa's trail","Marmar, 8.8 km NNW, (Bulisa's trail) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 8.8 km NNW, (Bulisa's trail)    :    940 m    :    5.4483695ºS  151.4671171ºE.}",,East New Britain Prov.,F Kraus,25 Feb 2005,"-5.4483695, 151.4671171",940 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 8.8 km NNW, (Bulisa's trail)",-5.4483695,151.4671171,5.4483695ºS 151.4671171ºE,A
FK 10868,Oreophryne brachypus,22522,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1, 5.44730° S, 151.46307° E (AGD66), 865 m = F Kraus field catalog","Marmar, 9 km NNW, (Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,27 Feb 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10873,Oreophryne brachypus,22523,alcoholic + alc gut,"installed, Oct 2006","New Britain, Cave nr. Camp 1, 5.44439° S, 151.46546° E (AGD66), 800 m = F Kraus field catalog","Marmar, 9.2 km NNW, (cave near Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9.2 km NNW, (cave near Camp 1)    :    800-920 m    :    5.44439ºS  151.46546ºE.}",,East New Britain Prov.,F Kraus,27 Feb 2005,"-5.44439, 151.46546",800-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9.2 km NNW, (cave near Camp 1)",-5.44439,151.46546,5.44439ºS 151.46546ºE,A
FK 10898,Oreophryne brachypus,22524,alcoholic,"installed, Oct 2006","New Britain, Point 15, 5.42868° S, 151.45654° E (AGD66), 850 m = F Kraus field catalog","Marmar, 11.3 km NNW, (Point 15) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.3 km NNW, (Point 15)    :    850-920 m    :    5.42868ºS  151.45654ºE.}",,East New Britain Prov.,F Kraus,28 Feb 2005,"-5.42868, 151.45654",850-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.3 km NNW, (Point 15)",-5.42868,151.45654,5.42868ºS 151.45654ºE,A
FK 10915,Oreophryne brachypus,22525,alcoholic + alc gut,"installed, Oct 2006","New Britain, Point 14, 5.42550° S, 151.45337° E (AGD66), 800 m = F Kraus field catalog","Marmar, 11.8 km NNW, (Point 14) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.8 km NNW, (Point 14)    :    800-962 m    :    5.4255ºS  151.45337ºE.}",,East New Britain Prov.,F Kraus,01 Mar 2005,"-5.4255, 151.45337",800-962 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.8 km NNW, (Point 14)",-5.4255,151.45337,5.4255ºS 151.45337ºE,A
FK 10916,Oreophryne brachypus,22526,alcoholic + alc gut,"installed, Oct 2006","New Britain, Point 14, 5.42550° S, 151.45337° E (AGD66), 800 m = F Kraus field catalog","Marmar, 11.8 km NNW, (Point 14) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.8 km NNW, (Point 14)    :    800-962 m    :    5.4255ºS  151.45337ºE.}",,East New Britain Prov.,F Kraus,01 Mar 2005,"-5.4255, 151.45337",800-962 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.8 km NNW, (Point 14)",-5.4255,151.45337,5.4255ºS 151.45337ºE,A
FK 10917,Oreophryne brachypus,22527,alcoholic,"installed, Oct 2006","New Britain, Point 14, 5.42550° S, 151.45337° E (AGD66), 800 m = F Kraus field catalog","Marmar, 11.8 km NNW, (Point 14) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.8 km NNW, (Point 14)    :    800-962 m    :    5.4255ºS  151.45337ºE.}",,East New Britain Prov.,F Kraus,01 Mar 2005,"-5.4255, 151.45337",800-962 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.8 km NNW, (Point 14)",-5.4255,151.45337,5.4255ºS 151.45337ºE,A
FK 10928,Oreophryne brachypus,22528,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 1, 5.44730° S, 151.46307° E (AGD66), 865 m = F Kraus field catalog","Marmar, 9 km NNW, (Camp 1) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 9 km NNW, (Camp 1)    :    865-920 m    :    5.4473ºS  151.46307ºE.}",,East New Britain Prov.,F Kraus,01 Mar 2005,"-5.4473, 151.46307",865-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 9 km NNW, (Camp 1)",-5.4473,151.46307,5.4473ºS 151.46307ºE,A
FK 10929,Oreophryne brachypus,22529,alcoholic + alc gut,"installed, Oct 2006","New Britain, Point 15, 5.42868° S, 151.45654° E (AGD66), 850 m = F Kraus field catalog","Marmar, 11.3 km NNW, (Point 15) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.3 km NNW, (Point 15)    :    850-920 m    :    5.42868ºS  151.45654ºE.}",,East New Britain Prov.,F Kraus,01 Mar 2005,"-5.42868, 151.45654",850-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.3 km NNW, (Point 15)",-5.42868,151.45654,5.42868ºS 151.45654ºE,A
FK 10930,Oreophryne brachypus,22530,alcoholic + alc gut,"installed, Oct 2006","New Britain, Point 15, 5.42868° S, 151.45654° E (AGD66), 850 m = F Kraus field catalog","Marmar, 11.3 km NNW, (Point 15) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.3 km NNW, (Point 15)    :    850-920 m    :    5.42868ºS  151.45654ºE.}",,East New Britain Prov.,F Kraus,01 Mar 2005,"-5.42868, 151.45654",850-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.3 km NNW, (Point 15)",-5.42868,151.45654,5.42868ºS 151.45654ºE,A
FK 10951,Oreophryne brachypus,22531,alcoholic + alc gut,"installed, Oct 2006","New Britain, Point 15, 5.42868° S, 151.45654° E (AGD66), 850 m = F Kraus field catalog","Marmar, 11.3 km NNW, (Point 15) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 11.3 km NNW, (Point 15)    :    850-920 m    :    5.42868ºS  151.45654ºE.}",,East New Britain Prov.,F Kraus,02 Mar 2005,"-5.42868, 151.45654",850-920 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 11.3 km NNW, (Point 15)",-5.42868,151.45654,5.42868ºS 151.45654ºE,A
FK 10962,Oreophryne brachypus,22532,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 2, 5.49895° S, 151.48930° E (AGD66), 517 m = F Kraus field catalog","Marmar, 2.6 km NNW, (Camp 2) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 2.6 km NNW, (Camp 2)    :    517 m    :    5.49895ºS  151.4893ºE.}",,East New Britain Prov.,F Kraus,04 Mar 2005,"-5.49895, 151.4893",517 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 2.6 km NNW, (Camp 2)",-5.49895,151.4893,5.49895ºS 151.4893ºE,A
FK 11013,Oreophryne brachypus,22533,alcoholic + alc gut,"installed, Oct 2006","New Britain, Camp 2, 5.49895° S, 151.48930° E (AGD66), 517 m = F Kraus field catalog","Marmar, 2.6 km NNW, (Camp 2) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 2.6 km NNW, (Camp 2)    :    517 m    :    5.49895ºS  151.4893ºE.}",,East New Britain Prov.,F Kraus,05 Mar 2005,"-5.49895, 151.4893",517 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 2.6 km NNW, (Camp 2)",-5.49895,151.4893,5.49895ºS 151.4893ºE,A
FK 11181,Oreophryne brachypus,22534,alcoholic + alc gut,"installed, Oct 2006","New Britain, 100 m S Camp 2 = F Kraus catalog ;  from F Kraus field catalog Camp 2 = 5.49895° S, 151.48930° E (AGD66), 517 m","Marmar, 2.6 km NNW, (Camp 2) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 2.6 km NNW, (Camp 2)    :    517 m    :    5.49895ºS  151.4893ºE.}",,East New Britain Prov.,F Kraus,08 Mar 2005,"-5.49895, 151.4893",517 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 2.6 km NNW, (Camp 2)",-5.49895,151.4893,5.49895ºS 151.4893ºE,A
FK 11182,Oreophryne brachypus,22535,alcoholic + alc gut,"installed, Oct 2006","New Britain, 100 m S Camp 2 = F Kraus catalog ;  from F Kraus field catalog Camp 2 = 5.49895° S, 151.48930° E (AGD66), 517 m","Marmar, 2.6 km NNW, (Camp 2) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 2.6 km NNW, (Camp 2)    :    517 m    :    5.49895ºS  151.4893ºE.}",,East New Britain Prov.,F Kraus,08 Mar 2005,"-5.49895, 151.4893",517 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 2.6 km NNW, (Camp 2)",-5.49895,151.4893,5.49895ºS 151.4893ºE,A
FK 11183,Oreophryne brachypus,22536,alcoholic + alc gut,"installed, Oct 2006","New Britain, 100 m S Camp 2 = F Kraus catalog ;  from F Kraus field catalog Camp 2 = 5.49895° S, 151.48930° E (AGD66), 517 m","Marmar, 2.6 km NNW, (Camp 2) {Papua New Guinea: East New Britain Prov.: New Britain Island: Marmar, 2.6 km NNW, (Camp 2)    :    517 m    :    5.49895ºS  151.4893ºE.}",,East New Britain Prov.,F Kraus,08 Mar 2005,"-5.49895, 151.4893",517 m,Papua New Guinea,East New Britain Prov.,New Britain Island,"Marmar, 2.6 km NNW, (Camp 2)",-5.49895,151.4893,5.49895ºS 151.4893ºE,A
AA 20646,Oreophryne brachypus,37862,alcoholic,"installed, Mar 2016",Kilis River Camp = from A Allison field catalog,,,,A Allison,12 May 2011,", ",,,,,,NA,NA,,A
AA 20647,Oreophryne brachypus,37863,alcoholic,installed 20 Jul 2021,Kilis River Camp = from A Allison field catalog,,,,A Allison,12 May 2011,", ",,,,,,NA,NA,,A
AA 20660,Oreophryne brachypus,37864,alcoholic,installed 20 Jul 2021,Kilis River Camp = from A Allison field catalog,,,,A Allison,13 May 2011,", ",,,,,,NA,NA,,A
AA 20661,Oreophryne brachypus,37865,alcoholic,installed,Kilis River Camp = from A Allison field catalog,,,,A Allison,13 May 2011,", ",,,,,,NA,NA,,A
AA 20951,Oreophryne brachypus,37866,alcoholic,installed,"Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,06 Aug 2011,", ",,,,,,NA,NA,,A
AA 20952,Oreophryne brachypus,37867,alcoholic,installed,"Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,06 Aug 2011,", ",,,,,,NA,NA,,A
AA 20953,Oreophryne brachypus,37868,alcoholic,installed,"Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,06 Aug 2011,", ",,,,,,NA,NA,,A
AA 20956,Oreophryne brachypus,37869,alcoholic,installed,"Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,06 Aug 2011,", ",,,,,,NA,NA,,A
AA 20973,Oreophryne brachypus,37870,alcoholic,"installed, Mar 2016","Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,06 Aug 2011,", ",,,,,,NA,NA,,A
AA 20977,Oreophryne brachypus,37871,alcoholic,"installed, Mar 2016","Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,07 Aug 2011,", ",,,,,,NA,NA,,A
AA 21004,Oreophryne brachypus,37872,alcoholic,"installed, Mar 2016","Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,08 Aug 2011,", ",,,,,,NA,NA,,A
AA 21005,Oreophryne brachypus,37873,alcoholic,"installed, Mar 2016","Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,08 Aug 2011,", ",,,,,,NA,NA,,A
AA 21006,Oreophryne brachypus,37874,alcoholic,"installed, Mar 2016","Tozen Camp, 950 m = from A Allison field catalog",,,,A Allison,08 Aug 2011,", ",,,,,,NA,NA,,A
AA 24021,Oreophryne brachypus,46187,alcoholic,"Installed, Aug 2018",Water Source = from A Allison field catalogue,,,,A Allison,12 Oct 2016,", ",,,,,,NA,NA,,A
AA 24036,Oreophryne brachypus,46202,alcoholic,"Installed, Aug 2018",Water Source = from A Allison field catalogue,,,,A Allison,14 Oct 2016,", ",,,,,,NA,NA,,A
AA 24037,Oreophryne brachypus,46203,alcoholic,"Installed, Aug 2018",Water Source = from A Allison field catalogue,,,,A Allison,14 Oct 2016,", ",,,,,,NA,NA,,A
AA 24038,Oreophryne brachypus,46204,alcoholic,installed 20 Jul 2021,Water Source = from A Allison field catalogue,,,,A Allison,14 Oct 2016,", ",,,,,,NA,NA,,A
AA 24047,Oreophryne brachypus,46213,alcoholic,"Installed, Aug 2018",Flat Land S 04.63834° E 152.04663° 1048 m = from A Allison field catalogue,Flat Land {Papua New Guinea: East New Britain Prov.: New Britain Island: Flat Land    :    1048 m    :    4.63834ºS [S 04.63834°]  152.04663ºE [E 152.04663°].},,East New Britain Prov.,A Allison,14 Oct 2016,"-4.63834, 152.04663",1048 m,Papua New Guinea,East New Britain Prov.,New Britain Island,Flat Land,-4.63834,152.04663,4.63834ºS 152.04663ºE ,A
AA 24066,Oreophryne brachypus,46232,alcoholic,installed 20 Jul 2021,Arabam Track S 04.62998 E 152.04849 974 m = from A Allison field catalogue,Arabam Track {Papua New Guinea: East New Britain Prov.: New Britain Island: Arabam Track    :    974 m    :    4.62998ºS [S 04.62998]  152.04849ºE [E 152.04849].},,East New Britain Prov.,A Allison,15 Oct 2016,"-4.62998, 152.04849",974 m,Papua New Guinea,East New Britain Prov.,New Britain Island,Arabam Track,-4.62998,152.04849,4.62998ºS 152.04849ºE ,A
AA 24106,Oreophryne brachypus,46272,alcoholic,"Installed, Aug 2018",Arabam track = from A Allison field catalogue,Arabam Track {Papua New Guinea: East New Britain Prov.: New Britain Island: Arabam Track    :    974 m    :    4.62998ºS [S 04.62998]  152.04849ºE [E 152.04849].},,East New Britain Prov.,A Allison,18 Oct 2016,"-4.62998, 152.04849",974 m,Papua New Guinea,East New Britain Prov.,New Britain Island,Arabam Track,-4.62998,152.04849,4.62998ºS 152.04849ºE ,A
AA 24107,Oreophryne brachypus,46273,alcoholic,"Installed, Aug 2018",Arabam track = from A Allison field catalogue,Arabam Track {Papua New Guinea: East New Britain Prov.: New Britain Island: Arabam Track    :    974 m    :    4.62998ºS [S 04.62998]  152.04849ºE [E 152.04849].},,East New Britain Prov.,A Allison,18 Oct 2016,"-4.62998, 152.04849",974 m,Papua New Guinea,East New Britain Prov.,New Britain Island,Arabam Track,-4.62998,152.04849,4.62998ºS 152.04849ºE ,A
AA 24109,Oreophryne brachypus,46275,alcoholic,"Installed, Aug 2018",Arabam track = from A Allison field catalogue,Arabam Track {Papua New Guinea: East New Britain Prov.: New Britain Island: Arabam Track    :    974 m    :    4.62998ºS [S 04.62998]  152.04849ºE [E 152.04849].},,East New Britain Prov.,A Allison,18 Oct 2016,"-4.62998, 152.04849",974 m,Papua New Guinea,East New Britain Prov.,New Britain Island,Arabam Track,-4.62998,152.04849,4.62998ºS 152.04849ºE ,A
AA 24143,Oreophryne brachypus,46309,alcoholic,"Installed, Aug 2018",Rieit Track (Middle) = from A Allison field catalogue,,,,A Allison,22 Oct 2016,", ",,,,,,NA,NA,,A
AA 24296,Oreophryne brachypus,46462,alcoholic,installed 20 Jul 2021,Arabam track = from A Allison field catalogue,,,,A Allison,11 Nov 2016,", ",,,,,,NA,NA,,A
FK 11656,Oreophryne cameroni,22689,alcoholic,"installed, May 2015","West Sepik Prov., Torricelli Mtns., Camp 1 to 700 m = F Kraus field catalog  ;  from F Kraus field catalog Camp 1 = 3.39329° S, 142.52826° E (AGD66), 550 m.","Torricelli Mtns., 2.9 to 3.2 km SSE Mt. Sapau summit, (Camp 1 to 700 m) {Papua New Guinea: West Sepik Prov.: Torricelli Mtns., 2.9 to 3.2 km SSE Mt. Sapau summit, (Camp 1 to 700 m)    :    550-700 m    :    3.3908514ºS  142.5297297ºE.}",,West Sepik Prov.,F Kraus,23 May 2005,"-3.3908514, 142.5297297",550-700 m,Papua New Guinea,West Sepik Prov.,"Torricelli Mtns., 2.9 to 3.2 km SSE Mt. Sapau summit, (Camp 1 to 700 m)    ","Torricelli Mtns., 2.9 to 3.2 km SSE Mt. Sapau summit, (Camp 1 to 700 m)",-3.3908514,142.5297297,3.3908514ºS 142.5297297ºE,A
FK 13704,Oreophryne cameroni,34677,alcoholic,"installed in types cabinet, May 2015","Madang Prov., Keki Lodge, 4° 42.291' S, 145° 24.251' E, 854 m = from F Kraus field notes",Keki Lodge {Papua New Guinea: Madang Prov.: Keki Lodge    :    854 m    :    4.70485ºS [4° 42.591' S (AGD 84)]  145.40418ºE [145° 24.251' E (AGD 84)].},,Madang Prov.,F Kraus,01 Oct 2009,"-4.70485, 145.40418",854 m,Papua New Guinea,Madang Prov.,Keki Lodge    ,Keki Lodge,-4.70485,145.40418,4.70485ºS 145.40418ºE ,A
FK 13920,Oreophryne cameroni,34678,alcoholic,"installed, May 2015","Madang Prov., Keki Lodge, 4° 42.291' S, 145° 24.251' E, 854 m = from F Kraus field notes",Keki Lodge {Papua New Guinea: Madang Prov.: Keki Lodge    :    854 m    :    4.70485ºS [4° 42.591' S (AGD 84)]  145.40418ºE [145° 24.251' E (AGD 84)].},,Madang Prov.,F Kraus,04 Oct 2009,"-4.70485, 145.40418",854 m,Papua New Guinea,Madang Prov.,Keki Lodge    ,Keki Lodge,-4.70485,145.40418,4.70485ºS 145.40418ºE ,A
--,Oreophryne geislerorum,1178,alcoholic,installed,"""Terr. New Guinea, Huon Pen., Pindiu, 1320 m."" = from Herpetology book catalog",Pindiu {Papua New Guinea: Morobe Prov.: Pindiu    :    1320 m.},,Morobe Prov.,J Sedlacek,18 Apr 1963,"1320, m",Pindiu,Papua New Guinea,Morobe Prov.,Pindiu    ,Pindiu,NA,NA,1320 m,A
--,Oreophryne geislerorum,5285,alcoholic,installed,"Terr. New Guinea, Morobe Distr., Mindik, 1200-1600 m. = from Old Herpetology Catalog",Mindik {Papua New Guinea: Morobe Prov.: Mindik    :    1200-1600 m    :    6.45652803ºS  147.43149002ºE.},,Morobe Prov.,N L H Krauss,07 Jul 1967,"-6.45652803, 147.43149002",1200-1600 m,Papua New Guinea,Morobe Prov.,Mindik    ,Mindik,-6.45652803,147.43149,6.45652803ºS 147.43149002ºE,A
